Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Warrior of the Light,Paulo Coelho,Margaret Jull Costa (Translator),9780060527983,paperback,read,2023/06/03,"","",1,"",,,,,,,3.0,,"",,"",No
A Feast for Crows,George R.R. Martin,"",9780553582024,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
Rebecca,Daphne du Maurier,"",9780316323703,digital,read,2025/03/11,2025/03/16,2025/03/11-2025/03/16,1,"dark, mysterious, tense",medium,"","","","","",4.0,,"","","",No
Dead Mountain: The Untold True Story of the Dyatlov Pass Incident,Donnie Eichar,"","",digital,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Out of the Shadows: Reimagining Gay Men's Lives,Walt Odets,"",9780374285852,hardcover,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Station Eleven,Emily St. John Mandel,"",9780385353304,hardcover,read,2023/06/02,"","",1,"",,,,,,,,,"",,"",No
Dawnshard,Brandon Sanderson,"",9781250850553,hardcover,read,2025/03/28,2025/07/02,2025/06/27-2025/07/02,1,"",,"","","","","",4.25,"","","","",No
Shelter,Kevin Tyler Norman,"",9780692148587,paperback,read,2023/06/02,"","",1,"",,,,,,,4.75,,"","","",No
The Grace of Kings,Ken Liu,"",9781481424271,hardcover,read,2024/05/30,2024/06/22,2024/05/04-2024/06/22,1,adventurous,medium,Character,Yes,Yes,It's complicated,Yes,4.25,"","","","",No
Where the Crawdads Sing,Delia Owens,"",9780735219113,digital,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
Nightwood,Djuna Barnes,"Jeanette Winterson, T.S. Eliot",9780811216715,paperback,to-read,2025/04/07,"","",0,"",,,,,,,,,"",,"",No
1984,George Orwell,Celâl Üster (Translator),9789750738975,hardcover,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
A Short History of Nearly Everything,Bill Bryson,"",9780767908184,paperback,read,2023/06/05,"","",1,"",,,,,,,4.0,,"",,"",No
"Slow Days, Fast Company",Eve Babitz,Matthew Specktor (Contributor),9781681370088,paperback,to-read,2025/07/31,"","",0,"",,,,,,,,,"",,"",No
Vicious,V.E. Schwab,"",9781466822177,digital,to-read,2023/08/16,"","",0,"",,,,,,,,,"",,"",No
The Fellowship of the Ring,J.R.R. Tolkien,"",9780007488308,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
"Gay New York: Gender, Urban Culture, and the Making of the Gay Male World 1890-1940",George Chauncey,"",9780465026210,paperback,to-read,2024/08/10,"","",0,"",,,,,,,,,"",,"",No
The Hate U Give,Angie Thomas,Bahni Turpin (Narrator),9780062677082,audio,read,2023/06/02,"","",1,"",,"","","","","",4.0,,"","","",No
The Island of Dr. Moreau,H.G. Wells,"",9780553214321,paperback,to-read,2024/06/23,"","",0,"",,,,,,,,,"",,"",No
Middlesex,Jeffrey Eugenides,"",9780312422158,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
This is How You Lose the Time War,"Max Gladstone, Amal El-Mohtar","",9781529405231,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
The Snow Leopard,Peter Matthiessen,"",9780140255089,paperback,read,2023/08/09,2023/12/25,2023/08/09-2023/12/25,1,"",,,,,,,,,"",,"",No
The God of the Woods,Liz Moore,"",9780593418918,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
Emotionally Intelligent Leadership: A Guide for College Students,Marcy Levy Shankman,Scott J. Allen,9780470277133,paperback,read,2023/06/03,"","",1,"",,,,,,,,,"",,"",No
Harry Potter and the Goblet of Fire,J.K. Rowling,"",9781408855683,paperback,read,2025/12/18,2000,2000-2000,1,"",,,,,,,,,"",,"",No
The Hunger Games,Suzanne Collins,"",9780545425117,paperback,read,2023/06/05,2025/01,2025/01-2025/01,1,"",,"","","","","",3.75,,"","","",No
American Gods,Neil Gaiman,Dave McKean (Illustrator),"",hardcover,read,2023/06/02,2023/11,2023/11-2023/11,1,"",,,,,,,,,"",,"",No
Legendborn,Tracy Deonn,"",9781534441606,hardcover,to-read,2025/03/10,"","",0,"",,,,,,,,,"",,"",No
The Glass Castle,Jeannette Walls,"",9780743247542,paperback,read,2023/06/02,"","",1,"",,,,,,,,,"",,"",No
The Mountains Sing,Nguyễn Phan Quế Mai,"",9780861540136,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
